epoch,stage,train_loss,validation_loss,learning_rate,seconds,examples_per_second,cuda_peak_memory_bytes,train_visible,train_response,train_first_layer,train_active,train_profile_flow,train_count,train_support_bce,train_support_rank,train_share_flow
0,joint,5.147355283787048,5.064650232585946,0.00029872100677538413,1730.2489481326193,15.387381121505145,11743641088,0.05755277749193286,1.6856983078911878,0.37473607681980864,0.20443640895992188,1.7585518556805058,3.533495316184102,0.5349086333038519,0.19567934885966984,4.405098772650773
1,joint,5.058323539160435,5.041588088952954,0.0002949059110302143,1713.7416462432593,15.535597246156216,11743641088,0.045066871271947376,1.5500810562882967,0.3697690086419036,0.2024419486013879,1.7530154632318389,3.350694889417231,0.5349030569313291,0.1948971060806361,4.423519873688934
2,joint,5.019709645989835,5.037552321463344,0.00028861999011043607,1710.2708081435412,15.567125319118162,11743641088,0.04557342665449474,1.5293768286993603,0.36877329438705525,0.2025516773512134,1.7619902531198481,3.2984799829882383,0.5348403608984363,0.1960008243954824,4.358152680926853
3,joint,5.016525485909466,5.033931348892815,0.0002799707978657719,1710.2033105809242,15.567739715669433,11743641088,0.044921947611420134,1.5202432646583155,0.36936832400829267,0.2022084794033479,1.757229081609643,3.2495324561153685,0.5346610114223548,0.19531594358043733,4.377824407750109
4,joint,5.0308489635610245,4.988013321623796,0.00026910632437353825,1722.0084215514362,15.461016140683691,11743641088,0.04494602865003684,1.5113630272547869,0.36797009120525853,0.20195764823253556,1.7533920348187624,3.213947629831867,0.5346739514469966,0.1951962729946622,4.4347892460963845
5,joint,5.001221544011262,5.01980591797724,0.0002562124637873879,1712.2864467334002,15.548800290273691,11743641088,0.045003776174791864,1.5048772408683646,0.3678527992334889,0.20179530862254524,1.7379233038637696,3.1821352029292735,0.534436625707034,0.19536773978333927,4.388215155463942
6,joint,5.00781365222213,4.978104135477002,0.00024150983363680297,1790.4726104158908,14.869816966267795,11743641088,0.04475846389122531,1.5003560630693884,0.3666867436705417,0.20191854667795894,1.7490996194632709,3.162004902579372,0.5341627800588219,0.1951923569647987,4.416229903362129
7,joint,4.980903795556977,4.97052683976873,0.00022524999999999905,1738.179188426584,15.317177985602447,11743641088,0.04470999432202461,1.4927646870529414,0.36508902320779785,0.20133972224221725,1.7489281147080336,3.1444489172457684,0.5341905922483479,0.19491766109904754,4.374470483539393
8,joint,4.963120117256279,4.978259042974447,0.0002077111731385803,1713.270414935425,15.539870278448419,11743641088,0.043619255039044715,1.4913092085657198,0.3642604808576447,0.20107170428215101,1.7537818170759842,3.1315239049143315,0.533730243209893,0.19500410927223252,4.349686419396941
9,joint,4.956308730260623,5.022242945423936,0.00018919344724282667,1724.683384243399,15.437036295029698,11743641088,0.04427097815619681,1.4893717331004093,0.36262037489775906,0.20086243548756896,1.7561101416813942,3.121744399299647,0.5334476952096592,0.19494499225175296,4.343252098557646
10,joint,4.972886215493247,4.982505989284152,0.00017001366573689785,1710.985764220357,15.560620407693298,11743641088,0.04401573433542431,1.4872188340504258,0.36263316919543803,0.20033505125357906,1.7390382421938235,3.1111337738260643,0.5332971710207121,0.1945205127028213,4.395205319156135
