epoch,stage,train_loss,validation_loss,learning_rate,seconds,examples_per_second,cuda_peak_memory_bytes,train_visible,train_response,train_first_layer,train_active,train_profile_flow,train_count,train_support_bce,train_support_rank,train_share_flow
0,joint,4.717724189044711,4.66059759141411,0.00029872100677538413,1733.6717641111463,15.357001568085252,11743589888,0.043529591152432996,-0.7129548754946262,0.371558634409648,0.20344867215487422,1.7534215978762575,3.5479188452762127,0.5346678857844183,0.19552829995976392,4.4025246400889015
1,joint,4.672676460147039,4.622668810854195,0.0002949059110302143,1718.1440325733274,15.495790513048115,11743589888,0.04322472441090522,-0.8148247248349079,0.3691472252455685,0.20265933039061035,1.7535714899093846,3.346525411764888,0.5352305492987793,0.19513121797227365,4.424956065565448
2,joint,4.631287059994573,4.616927661798011,0.00028861999011043607,1711.980125989765,15.551582402048966,11743589888,0.04363080670539137,-0.8295702850682111,0.3683169696432662,0.20296473455809919,1.7626390850218885,3.2876551310328823,0.5342312920918356,0.195466810348323,4.358449614179653
3,joint,4.632089582412716,4.61714897323318,0.0002799707978657719,1707.3225080817938,15.5940075023743,11743589888,0.04335134001410804,-0.8349378684458668,0.36895177255051853,0.20235260763911478,1.7578989751762921,3.2411054024321286,0.5347667276483145,0.19548531599025457,4.378360743669876
4,joint,4.647393464558506,4.580626302372833,0.00026910632437353825,1702.5238468479365,15.637960108043034,11743589888,0.04369916865013772,-0.8346462278952833,0.36729751303102676,0.20199144126690802,1.7526853445926605,3.20644265374327,0.534665537546797,0.1952246412960613,4.434687020436369
5,joint,4.617178412259686,4.613850713648873,0.0002562124637873879,1710.139163436368,15.56832365998888,11743589888,0.04360877966419599,-0.8432003038320584,0.3671794378464217,0.20184954081603018,1.737535797423921,3.175836392558048,0.5343176795873713,0.1952695734840888,4.388573951325708
6,joint,4.625128015032861,4.564802853987821,0.00024150983363680297,1706.5311335343868,15.601238955927624,11743589888,0.04361752703516155,-0.8477714710125931,0.36641728202972584,0.20191405573345558,1.748314547893403,3.1550575793259634,0.5341351041526227,0.1952154691779643,4.416002264021753
7,joint,4.598264033444593,4.560161770699139,0.00022524999999999905,1709.2719737365842,15.576222163052341,11743589888,0.04359335312131544,-0.8532950462734752,0.3648315368291727,0.20145732804659333,1.747883814679413,3.1369417157021626,0.5341047025194355,0.19488442651566446,4.373908773558296
8,joint,4.581890309208923,4.563921315778227,0.0002077111731385803,1705.757113903761,15.608318313894559,11743589888,0.04267025035051267,-0.8546159986381062,0.36422752353786486,0.20111547419303893,1.752803077911616,3.12319350489792,0.5338321928306826,0.19519015758094527,4.349261133794933
9,joint,4.573815575531535,4.613385062964734,0.00018919344724282667,1711.5920957885683,15.555108057293134,11743589888,0.04334229082633926,-0.8569671922189931,0.3622789726922501,0.20097538161622341,1.7553241301394271,3.1132984262934564,0.5333901256128074,0.19491265405700742,4.342605094289575
10,joint,4.590509416929687,4.576729458561753,0.00017001366573689785,1704.5851892121136,15.619049237607207,11743589888,0.0430412224030643,-0.8588797118875304,0.3624932688280294,0.2003742215518099,1.7373064971598844,3.103382317257379,0.5331808174612932,0.19442741723144702,4.3945766178261785
11,joint,4.5606630994630395,4.5231045503742004,0.00015050000000000022,1706.5996631924063,15.600612477677691,11743589888,0.0428018956932331,-0.8630546654610793,0.36039428906616533,0.19997497426850963,1.724027929151276,3.0939242567380916,0.5329874631035078,0.1945396091000626,4.349487446787553
12,joint,4.561929898297488,4.568440814318454,0.00013098633426310272,1707.5484299119562,15.591944294881742,11743589888,0.042767859158040857,-0.8640111441354474,0.3606936876738644,0.19991007329195448,1.7255623408714769,3.088098109722245,0.5333611100327735,0.1941926094502083,4.35309481773931
13,joint,4.564827125459903,4.604698360228085,0.00011180655275717434,1705.419719118625,15.611406213691199,11743589888,0.042720782139222306,-0.8667902378044252,0.3586898342539813,0.19959128946183446,1.7255981381691226,3.082086353493296,0.5327174500057443,0.194163187219937,4.37516692304278
14,joint,4.567560550783409,4.547115872929072,9.328882686142004e-05,1706.501545554027,15.601509456211096,11743589888,0.042500237768940095,-0.869036541903654,0.35741179958896585,0.19940701949773057,1.7159589179093595,3.0768058126994235,0.532629122471041,0.19410218202385354,4.395683576401381
15,joint,4.534266983627171,4.528856098041004,7.575000000000061e-05,1699.836163027212,15.662685957089964,11743589888,0.042428020516859705,-0.8702992714402008,0.3565246298856751,0.19903102616620194,1.7105721419449187,3.072021202431731,0.5322724175944854,0.19395394108103073,4.331725246577965
16,joint,4.531581389304886,4.565434038377262,5.9490166363196915e-05,1698.8725843839347,15.671569630782352,11743589888,0.04229714124496784,-0.8722029247139023,0.3557009926474161,0.19875853726754109,1.7012819450181536,3.0684372111164238,0.5320875853105308,0.19354767450743332,4.338015728929651
17,joint,4.5383459626486475,4.560780456439643,4.478753621261167e-05,1705.2202321514487,15.613232530327728,11743589888,0.04221329011005515,-0.8759287072276924,0.35478918700962014,0.198703122093303,1.6998585850262335,3.065304890607482,0.5319062876612694,0.1936201107765281,4.361489087443967
18,joint,4.53045713049833,4.541385301908322,3.1893675626460825e-05,1700.207774290815,15.659262592835345,11743589888,0.04214534839886545,-0.8748659174024279,0.3530253083240644,0.19849646672713936,1.6982102203347647,3.062572683921558,0.5316806627684734,0.19366132999785665,4.354696791451983
19,joint,4.525672463809743,4.513572058600877,2.1029202134226618e-05,1700.07032109797,15.660528667311366,11743589888,0.042212271938394046,-0.8762786471178887,0.3525765490291281,0.19825467063965818,1.6957973577779022,3.060274516136388,0.5318076585511622,0.19359828191369619,4.34807199566166
20,joint,4.527765421172051,4.51952947250746,1.2380009889562644e-05,1704.9277304671705,15.615911175721628,11743589888,0.041969096218421716,-0.8775116906443945,0.35190806617515413,0.19807398901672574,1.6802036101575744,3.0596605731958952,0.531433284114765,0.1935295910146931,4.365293685503846
21,joint,4.533882404410788,4.551427383548519,6.0940889697843575e-06,1704.2030993364751,15.622551097557533,11743589888,0.041986209378061065,-0.8781948407608251,0.3516931132623011,0.19807188776996534,1.681810404296821,3.0577680780889214,0.5313160104716123,0.1935792609894762,4.3805220572562105
22,joint,4.515141088037789,4.549580309087326,2.2789932246154182e-06,1701.035836784169,15.651639679933508,11743589888,0.04186981744966341,-0.8793332468973738,0.35108848293607764,0.19801281461505194,1.687657328105494,3.0571783205827185,0.5314111492239948,0.1935021091107315,4.340565709157492
23,joint,4.484919494837825,4.5243900422645,1e-06,1704.5351502876729,15.619507755828145,11743589888,0.041881459035519035,-0.8789131396110932,0.35109926543373804,0.19798203734296896,1.6820225032004037,3.0568526249520813,0.531398684149098,0.19316296485299486,4.275730152239745
