epoch,stage,train_loss,validation_loss,learning_rate,seconds,examples_per_second,cuda_peak_memory_bytes,train_visible,train_response,train_first_layer,train_active,train_profile_flow,train_count,train_support_bce,train_support_rank,train_share_flow
0,joint,4.719136280118278,4.665887835434206,0.00029872100677538413,1735.7946486249566,15.338219887410483,11743589888,0.04354799025849099,-0.7085900795895923,0.3717439962287335,0.203449840688688,1.753061868920368,3.548907306512949,0.534700204633178,0.19555528784338247,4.402699208135994
1,joint,4.67376433037841,4.625564755667355,0.0002949059110302143,1728.6713838558644,15.401423456558991,11743589888,0.043220577996749485,-0.8154668697245947,0.36920201309695067,0.20269995647973107,1.753671676410811,3.355988973375105,0.5351317727353515,0.1950433746799709,4.424469536990229
2,joint,4.633006348329432,4.618239884146136,0.00028861999011043607,1724.6602945718914,15.437242965350933,11743589888,0.04365927550419171,-0.8291796515818279,0.3684482150561388,0.20298040244650245,1.7631014423352092,3.2938909415648494,0.5343994661604792,0.19562369608545938,4.357908183238193
3,joint,4.631605089154092,4.61660860502877,0.0002799707978657719,1719.5537656210363,15.483086677655841,11743589888,0.043379682123997815,-0.835259608805691,0.3691515185343311,0.2024578423244958,1.7583314037575548,3.240382782263559,0.5346167968661231,0.19522460878016257,4.37754473604005
4,joint,4.646516353449414,4.579860436968713,0.00026910632437353825,1716.0946757439524,15.51429555508533,11743589888,0.04371182454683603,-0.8350484962899957,0.36738866680087223,0.2020455364331835,1.7529859408779889,3.2038983584578737,0.5347321837341191,0.19524596610033274,4.432822618071818
5,joint,4.616697993825517,4.6127425447913595,0.0002562124637873879,1714.36006260477,15.529993133150768,11743589888,0.043654160226202984,-0.8439191622973862,0.3673529966522996,0.20191088584305225,1.737884494630716,3.1732492572637407,0.5343116171689943,0.1952414900729429,4.387496077291649
6,joint,4.624620710860401,4.5652731658773575,0.00024150983363680297,1719.2913681305945,15.48544969951695,11743589888,0.04366208038272959,-0.8479593210876568,0.3665635946815846,0.20198834000681337,1.7485587753931466,3.153392593737575,0.5341013841581205,0.19515422553979306,4.414690111170811
7,joint,4.598417014185846,4.560727688089821,0.00022524999999999905,1717.6112770475447,15.500596878802996,11743589888,0.04362538390338253,-0.8537615258266338,0.3649564330470657,0.20152639096667027,1.7479424188070962,3.1360031125350445,0.5342500359458054,0.19504669346612183,4.372893374246172
8,joint,4.581543756439419,4.565745562794966,0.0002077111731385803,1713.3448211792856,15.539195421079832,11743589888,0.04269933613464989,-0.8550879398576402,0.3644457866896966,0.20119100263359474,1.7532408476305728,3.1233259590730116,0.5337222090760464,0.1950414935301117,4.347949054855362
9,joint,4.57361027531885,4.6127645341054935,0.00018919344724282667,1714.7570985946804,15.52639730829489,11743589888,0.0433760970178424,-0.8577753165924654,0.3624147107187569,0.20105282985914902,1.7556069978647788,3.1142492712363485,0.5333526214487735,0.19486743199152265,4.341303810305979
