variant,epoch,train_loss,validation_loss,learning_rate,seconds,examples_per_second,cuda_peak_memory_bytes,train_visible,train_response,train_first_layer,train_active,train_profile_flow,train_count,train_support_bce,train_support_rank,train_share_flow
calibrated_lr3e5,0,5.068534478266443,4.988944060631413,0.000001,3763.0571182480003,7.075098560394845,11755663872,0.05148878971224742,-0.825886745099179,0.43466735620900454,0.2837636882465703,2.0436520317881284,3.4321911578944655,0.5509693328058609,0.20799222339011,4.629557994160535
calibrated_lr3e5,1,5.0487338234933885,4.97420585940907,0.000015499999999999977,3913.883696099,6.802450473052216,11738958336,0.05082699696671705,-0.8267408738391921,0.43279799972009103,0.27765736054038853,2.0396099986996714,3.429268145039997,0.5510877984344409,0.20801683421107545,4.607718839203691
calibrated_lr3e5,2,5.003112206513855,4.927671314507592,0.000001,3917.1227496270003,6.796825553280201,11738958336,0.05024049302286214,-0.8365467561311917,0.4303256337767467,0.272210712319818,2.0058695411585408,3.419629404935478,0.5483085537228145,0.20647813168186202,4.5597639114759465
calibrated_lr3e5,3,5.053009169849157,4.939321973836963,0.000015499999999999977,4178.916346610999,6.371029662173406,11738958336,0.05006697616278151,-0.8327410322062071,0.4294213707734496,0.269877515993517,2.0262358364339934,3.4211839159410333,0.5503966095938133,0.2072661797309717,4.661975558985723
calibrated_lr3e5,4,4.981932648565685,4.89732698326055,0.000001,4256.8365423079995,6.254409756021505,11738958336,0.04955831438516881,-0.8421346227635957,0.4267294865151112,0.26653408817149293,1.9814263605603986,3.410902096071516,0.5481347981164497,0.20540341744457571,4.5585137367624675
calibrated_lr3e5,5,5.002205164550204,4.949966119637776,2.805736835487431e-05,637.4836719641462,41.76420694504848,11742865920,0.04959477526520908,-0.8331945446669301,0.4278454789948512,0.26575738610395416,2.004625214417023,3.4129426937154856,0.5494498769079534,0.2068333817792417,4.578362465630197
calibrated_lr3e5,6,5.000040895261285,4.889732864206741,2.2749999999999974e-05,637.1108225574717,41.78864815563282,11742865920,0.04901253729048006,-0.8372988771782705,0.4257108789237066,0.26368000965875255,1.9820215178282916,3.404614664451319,0.5487305497650308,0.20603678587228832,4.607187831834385
calibrated_lr3e5,7,4.961920214043239,4.8948380772575275,1.54999999999999e-05,637.1271476726979,41.787577404686516,11742865920,0.048801247371425306,-0.841793264511371,0.42269862789626267,0.26085013125813006,1.9718146572543984,3.3924963243216686,0.5478399931605346,0.20527845909930253,4.555637316658659
calibrated_lr3e5,8,4.937257417988771,4.843470557018744,8.24999999999994e-06,637.2156040910631,41.78177657462892,11742865920,0.048511764066795915,-0.8472193672476419,0.4215600683924977,0.2594962376922349,1.9622805466623974,3.384932577704051,0.5466775768494214,0.20478688772362258,4.522280342169971
calibrated_lr3e5,9,4.9231520743151895,4.8865099375628445,2.942631645125703e-06,636.8203384941444,41.807709946821696,11742865920,0.04827716591499716,-0.8497372071603562,0.4203658883777024,0.25840935224643263,1.9522160775413755,3.3795275949319525,0.5456921736520235,0.20422667689102578,4.510341096252156
