variant,epoch,train_loss,validation_loss,learning_rate,run_tag
v3_m0_fresh,0,4.717724189044711,4.66059759141411,0.00029872100677538413,v3-m0-fresh
v3_m0_fresh,1,4.672676460147039,4.622668810854195,0.0002949059110302143,v3-m0-fresh
v3_m0_fresh,2,4.631287059994573,4.616927661798011,0.00028861999011043607,v3-m0-fresh
v3_m0_fresh,3,4.632089582412716,4.61714897323318,0.0002799707978657719,v3-m0-fresh
v3_m0_fresh,4,4.647393464558506,4.580626302372833,0.00026910632437353825,v3-m0-fresh
v3_m0_fresh,5,4.617178412259686,4.613850713648873,0.0002562124637873879,v3-m0-fresh
v3_m0_fresh,6,4.625128015032861,4.564802853987821,0.00024150983363680297,v3-m0-fresh
v3_m0_fresh,7,4.598264033444593,4.560161770699139,0.00022524999999999905,v3-m0-fresh
v3_m0_fresh,8,4.581890309208923,4.563921315778227,0.0002077111731385803,v3-m0-fresh
v3_m0_fresh,9,4.573815575531535,4.613385062964734,0.00018919344724282667,v3-m0-fresh
v3_m0_fresh,10,4.590509416929687,4.576729458561753,0.00017001366573689785,v3-m0-fresh
v3_m0_fresh,11,4.5606630994630395,4.5231045503742004,0.00015050000000000022,v3-m0-fresh
v3_m0_fresh,12,4.561929898297488,4.568440814318454,0.00013098633426310272,v3-m0-fresh
v3_m0_fresh,13,4.564827125459903,4.604698360228085,0.00011180655275717434,v3-m0-fresh
v3_m0_fresh,14,4.567560550783409,4.547115872929072,9.328882686142004e-05,v3-m0-fresh
v3_m0_fresh,15,4.534266983627171,4.528856098041004,7.575000000000061e-05,v3-m0-fresh
v3_m0_fresh,16,4.531581389304886,4.565434038377262,5.9490166363196915e-05,v3-m0-fresh
v3_m0_fresh,17,4.5383459626486475,4.560780456439643,4.478753621261167e-05,v3-m0-fresh
v3_m0_fresh,18,4.53045713049833,4.541385301908322,3.1893675626460825e-05,v3-m0-fresh
v3_m0_fresh,19,4.525672463809743,4.513572058600877,2.1029202134226618e-05,v3-m0-fresh
v3_m0_fresh,20,4.527765421172051,4.51952947250746,1.2380009889562644e-05,v3-m0-fresh
v3_m0_fresh,21,4.533882404410788,4.551427383548519,6.0940889697843575e-06,v3-m0-fresh
v3_m0_fresh,22,4.515141088037789,4.549580309087326,2.2789932246154182e-06,v3-m0-fresh
v3_m0_fresh,23,4.484919494837825,4.5243900422645,1e-06,v3-m0-fresh
v3_s1_axis,0,4.719136280118278,4.665887835434206,0.00029872100677538413,v3-s1-axis
v3_s1_axis,1,4.67376433037841,4.625564755667355,0.0002949059110302143,v3-s1-axis
v3_s1_axis,2,4.633006348329432,4.618239884146136,0.00028861999011043607,v3-s1-axis
v3_s1_axis,3,4.631605089154092,4.61660860502877,0.0002799707978657719,v3-s1-axis
v3_s1_axis,4,4.646516353449414,4.579860436968713,0.00026910632437353825,v3-s1-axis
v3_s1_axis,5,4.616697993825517,4.6127425447913595,0.0002562124637873879,v3-s1-axis
v3_s1_axis,6,4.624620710860401,4.5652731658773575,0.00024150983363680297,v3-s1-axis
v3_s1_axis,7,4.598417014185846,4.560727688089821,0.00022524999999999905,v3-s1-axis
v3_s1_axis,8,4.581543756439419,4.565745562794966,0.0002077111731385803,v3-s1-axis
v3_s1_axis,9,4.57361027531885,4.6127645341054935,0.00018919344724282667,v3-s1-axis
v3_s1_axis,10,4.590770884250127,4.577021376803888,0.00017001366573689785,v3-s1-axis
v3_s1_axis,11,4.560773239066963,4.523596808641582,0.00015050000000000022,v3-s1-axis
v3_s1_axis,12,4.562129084473396,4.569292887063536,0.00013098633426310272,v3-s1-axis
v3_s1_axis,13,4.564993214333194,4.605454146774761,0.00011180655275717434,v3-s1-axis
v3_s1_axis,14,4.567880052689472,4.548162350717436,9.328882686142004e-05,v3-s1-axis
v3_s1_axis,15,4.534448956056895,4.529629314626468,7.575000000000061e-05,v3-s1-axis
v3_s1_axis,16,4.531699142989098,4.565765620674256,5.9490166363196915e-05,v3-s1-axis
v3_s1_axis,17,4.538521224162265,4.56145468253866,4.478753621261167e-05,v3-s1-axis
v3_s1_axis,18,4.530561639619406,4.54172688521892,3.1893675626460825e-05,v3-s1-axis
v3_s1_axis,19,4.525838607276967,4.514053317498672,2.1029202134226618e-05,v3-s1-axis
v3_s1_axis,20,4.527823967038444,4.519950488999508,1.2380009889562644e-05,v3-s1-axis
v3_s1_axis,21,4.533987313744074,4.5518379022925,6.0940889697843575e-06,v3-s1-axis
v3_s1_axis,22,4.515197466750765,4.550028754886387,2.2789932246154182e-06,v3-s1-axis
v3_s1_axis,23,4.485034537309995,4.524821275847898,1e-06,v3-s1-axis
v3_s2_response,0,5.147355283787048,5.064650232585946,0.00029872100677538413,v3-s2-response
v3_s2_response,1,5.058323539160435,5.041588088952954,0.0002949059110302143,v3-s2-response
v3_s2_response,2,5.019709645989835,5.037552321463344,0.00028861999011043607,v3-s2-response
v3_s2_response,3,5.016525485909466,5.033931348892815,0.0002799707978657719,v3-s2-response
v3_s2_response,4,5.0308489635610245,4.988013321623796,0.00026910632437353825,v3-s2-response
